sample_id,interp_age,interp_age_uncert_pos,interp_age_uncert_neg,age_model_type,ann_lam_check,dep_rate_check
456944,136369.194062622,846.0,846.0,StalAge,not applicable,not applicable
456945,136533.327069874,846.0,846.0,StalAge,not applicable,not applicable
456946,136697.460077126,846.0,846.0,StalAge,not applicable,not applicable
456947,136861.593084378,846.0,846.0,StalAge,not applicable,not applicable
456948,137025.72609163,846.0,846.0,StalAge,not applicable,not applicable
456949,78772.3125755887,553.504438118704,470.061292107595,StalAge,not applicable,not applicable
456950,79086.0089947405,541.6420929991,454.195602469714,StalAge,not applicable,not applicable
456951,80130.2918290208,482.800274562702,400.732848768603,StalAge,not applicable,not applicable
456952,81175.5926543155,415.664239597812,358.437538878192,StalAge,not applicable,not applicable
456953,82227.2091275797,350.184501713797,314.738190024204,StalAge,not applicable,not applicable
456954,83276.7382030943,289.753385312899,271.085282864791,StalAge,not applicable,not applicable
456955,84319.6151637801,282.667133474504,233.503408088291,StalAge,not applicable,not applicable
456956,85369.5103198511,238.162014760994,208.324241303213,StalAge,not applicable,not applicable
456957,86410.1756768857,234.185134377796,206.109513053001,StalAge,not applicable,not applicable
456958,87456.3310160846,234.338046557896,214.104498953806,StalAge,not applicable,not applicable
456959,88496.6526991257,260.140221129506,213.979245692899,StalAge,not applicable,not applicable
456960,89551.9823837882,287.477976156501,255.049839626998,StalAge,not applicable,not applicable
456961,90602.0087630134,349.588928163605,291.886233901794,StalAge,not applicable,not applicable
456962,91125.6963126732,1126.61657862415,314.993705155706,StalAge,not applicable,not applicable
456963,91649.3838623329,1903.64422908469,338.101176409604,StalAge,not applicable,not applicable
456964,92226.2652784061,3362.06656413604,413.891574149849,StalAge,not applicable,not applicable
456965,92803.1466944793,4820.48889918739,489.68197189011,StalAge,not applicable,not applicable
456966,94831.9027522304,3198.57103370508,2025.27812042336,StalAge,not applicable,not applicable
456967,96860.6588099815,1576.65316822281,3560.8742689566,StalAge,not applicable,not applicable
456968,97769.7536246209,999.785287171806,3810.9531261659,StalAge,not applicable,not applicable
456969,98678.8484392604,422.917406120803,4061.0319833752,StalAge,not applicable,not applicable
456970,98999.1717094819,419.429249564695,2536.49261366895,StalAge,not applicable,not applicable
456971,99319.4949797034,415.941093008587,1011.95324396271,StalAge,not applicable,not applicable
456972,99638.8688860823,396.665992756651,637.543230089388,StalAge,not applicable,not applicable
456973,99958.2427924613,377.3908925047,263.133216216098,StalAge,not applicable,not applicable
456974,100595.016266229,343.429721845998,266.055982911988,StalAge,not applicable,not applicable
456975,101235.199142815,307.684456625997,240.326821865005,StalAge,not applicable,not applicable
456976,101870.066956418,276.384432096005,212.323486527006,StalAge,not applicable,not applicable
456977,102503.853588951,244.398723445003,189.192664762988,StalAge,not applicable,not applicable
456978,103141.255677039,222.25546620501,186.435858647994,StalAge,not applicable,not applicable
456979,103779.156409169,213.428778171001,191.99146751799,StalAge,not applicable,not applicable
456980,104417.645370415,224.622874340988,517.874416539998,StalAge,not applicable,not applicable
456981,105051.211520428,223.868594625004,797.131451057998,StalAge,not applicable,not applicable
456982,105554.040094286,348.810495273996,1299.960024916,StalAge,not applicable,not applicable
456983,106037.035421207,518.942378386011,965.434373518001,StalAge,not applicable,not applicable
456984,106862.706931257,363.496321811006,365.433748374999,StalAge,not applicable,not applicable
456985,107396.827306513,422.311201653501,488.495458762511,StalAge,not applicable,not applicable
456986,107930.947681769,481.126081495997,611.557169150008,StalAge,not applicable,not applicable
456987,109425.714605568,391.602717466492,1457.6204356575,StalAge,not applicable,not applicable
456988,110920.481529367,302.079353436988,2303.683702165,StalAge,not applicable,not applicable
456989,111642.060929603,294.58854016749,1575.16192043101,StalAge,not applicable,not applicable
456990,112363.640329838,287.097726897991,846.640138696996,StalAge,not applicable,not applicable
456991,113066.856722023,310.111376086992,559.047841204985,StalAge,not applicable,not applicable
456992,113770.073114209,333.125025276007,271.455543712989,StalAge,not applicable,not applicable
456993,114470.378719859,299.913523911993,297.600405884499,StalAge,not applicable,not applicable
456994,115170.684325509,266.702022547994,323.745268056009,StalAge,not applicable,not applicable
456995,116699.069975138,1382.439431729,473.040669046997,StalAge,not applicable,not applicable
456996,118176.452645009,583.547184948999,576.207874162006,StalAge,not applicable,not applicable
456997,119096.148319357,653.030890986993,467.449914860001,StalAge,not applicable,not applicable
456998,119613.482179057,364.790590557008,337.552491509996,StalAge,not applicable,not applicable
456999,120103.300992196,460.904400143991,202.384519344007,StalAge,not applicable,not applicable
457000,120408.548706729,751.375686618005,159.686080521002,StalAge,not applicable,not applicable
457001,120716.903032105,1031.51559898201,487.607298016999,StalAge,not applicable,not applicable
457002,121023.461714767,1034.652046976,793.39516704499,StalAge,not applicable,not applicable
457003,121334.986384794,1036.146547856,1044.10197960801,StalAge,not applicable,not applicable
457004,121648.314973436,1083.854574577,1024.597437005,StalAge,not applicable,not applicable
457006,121862.384170302,869.785377710999,1093.421701037,StalAge,not applicable,not applicable
457007,147685.471739285,28348.560179628,24416.562596546,StalAge,not applicable,not applicable
457008,173508.559308267,2525.47261064601,50239.650165528,StalAge,not applicable,not applicable
457009,176560.88342554,955.973041513993,1410.870876678,StalAge,not applicable,not applicable
457010,178411.746350745,929.094553528994,439.992048526998,StalAge,not applicable,not applicable
457011,180280.538429679,1606.74353768901,725.026384269993,StalAge,not applicable,not applicable
457012,182121.708454319,1341.20513050398,662.214755128021,StalAge,not applicable,not applicable
457013,183889.069675769,1041.88025374501,641.72244783098,StalAge,not applicable,not applicable
457014,185643.829305105,799.10355128799,623.613719671994,StalAge,not applicable,not applicable
457015,187384.866050698,708.469664006989,633.078315018007,StalAge,not applicable,not applicable
457016,189116.396437639,841.529693448014,674.517408580985,StalAge,not applicable,not applicable
457017,190805.425022545,1059.678795063,781.286259169021,StalAge,not applicable,not applicable
457018,192415.489195335,876.694969416014,844.771038362989,StalAge,not applicable,not applicable
457019,194086.190582809,870.534345673979,1003.83274581601,StalAge,not applicable,not applicable
457020,111282.208,1675.56363425459,1675.56363425459,mixed (see notes),not applicable,not applicable
457021,111318.965,1579.5332134122,1579.5332134122,mixed (see notes),not applicable,not applicable
457022,111355.696,1514.02602392995,1514.02602392995,mixed (see notes),not applicable,not applicable
457023,111392.586,1454.01098150955,1454.01098150955,mixed (see notes),not applicable,not applicable
457024,111432.087,1385.45733451079,1385.45733451079,mixed (see notes),not applicable,not applicable
457025,111474.673,1314.41993139181,1314.41993139181,mixed (see notes),not applicable,not applicable
457026,111522.6,1221.48505424247,1221.48505424247,mixed (see notes),not applicable,not applicable
457027,111576.949,1112.47090438767,1112.47090438767,mixed (see notes),not applicable,not applicable
457028,111642.691,980.016337668969,980.016337668969,mixed (see notes),not applicable,not applicable
457029,111736.118,805.99262553476,805.99262553476,mixed (see notes),not applicable,not applicable
457030,111841.599,833.799999541398,833.799999541398,mixed (see notes),not applicable,not applicable
457031,111935.517,850.748792742224,850.748792742224,mixed (see notes),not applicable,not applicable
457032,112025.78,871.580317957359,871.580317957359,mixed (see notes),not applicable,not applicable
457033,112113.782,895.846258251058,895.846258251058,mixed (see notes),not applicable,not applicable
457034,112201.239,922.964536182757,922.964536182757,mixed (see notes),not applicable,not applicable
457035,112287.018,955.71292022756,955.71292022756,mixed (see notes),not applicable,not applicable
457036,112371.135,986.333802254323,986.333802254323,mixed (see notes),not applicable,not applicable
457037,112453.616,1015.8759954907,1015.8759954907,mixed (see notes),not applicable,not applicable
457038,112535.399,1048.6945711214,1048.6945711214,mixed (see notes),not applicable,not applicable
457039,112616.491,1082.72145884038,1082.72145884038,mixed (see notes),not applicable,not applicable
457040,112696.813,1117.41970043082,1117.41970043082,mixed (see notes),not applicable,not applicable
