sample_id,entity_id,sample_thickness,depth_sample,mineralogy,arag_corr
457021,806,0.9,2.0,calcite,not applicable
457022,806,0.9,3.0,calcite,not applicable
457023,806,0.9,4.0,calcite,not applicable
457024,806,0.9,5.0,calcite,not applicable
457025,806,0.9,6.0,calcite,not applicable
457026,806,0.9,7.0,calcite,not applicable
457027,806,0.9,8.0,calcite,not applicable
457028,806,0.9,9.0,calcite,not applicable
457029,806,0.9,10.0,calcite,not applicable
457030,806,0.9,11.0,calcite,not applicable
457031,806,0.9,12.0,calcite,not applicable
457032,806,0.9,13.0,calcite,not applicable
457033,806,0.9,14.0,calcite,not applicable
457034,806,0.9,15.0,calcite,not applicable
457035,806,0.9,16.0,calcite,not applicable
457036,806,0.9,17.0,calcite,not applicable
457037,806,0.9,18.0,calcite,not applicable
457038,806,0.9,19.0,calcite,not applicable
457039,806,0.9,20.0,calcite,not applicable
457040,806,0.9,21.0,calcite,not applicable
457041,806,0.9,22.0,calcite,not applicable
457042,806,0.9,23.0,calcite,not applicable
457043,806,0.9,24.0,calcite,not applicable
457044,806,0.9,25.0,calcite,not applicable
457045,806,0.9,26.0,calcite,not applicable
457046,806,0.9,27.0,calcite,not applicable
457047,806,0.9,28.0,calcite,not applicable
457048,806,0.9,29.0,calcite,not applicable
457049,806,0.9,30.0,calcite,not applicable
457050,806,0.9,31.0,calcite,not applicable
457051,806,0.9,32.0,calcite,not applicable
457052,806,0.9,33.0,calcite,not applicable
457053,806,0.9,34.0,calcite,not applicable
457054,806,0.9,35.0,calcite,not applicable
457055,806,0.9,36.0,calcite,not applicable
457056,806,0.9,37.0,calcite,not applicable
457057,806,0.9,38.0,calcite,not applicable
457058,806,0.9,39.0,calcite,not applicable
457059,806,0.9,40.0,calcite,not applicable
457060,806,0.9,41.0,calcite,not applicable
457061,806,0.9,42.0,calcite,not applicable
457062,806,0.9,43.0,calcite,not applicable
457063,806,0.9,44.0,calcite,not applicable
457064,806,0.9,45.0,calcite,not applicable
457065,806,0.9,46.0,calcite,not applicable
457066,806,0.9,47.0,calcite,not applicable
457067,806,0.9,48.0,calcite,not applicable
457068,806,0.9,49.0,calcite,not applicable
457069,806,0.9,50.0,calcite,not applicable
457070,806,0.9,51.0,calcite,not applicable
457071,806,0.9,52.0,calcite,not applicable
457072,806,0.9,53.0,calcite,not applicable
457073,806,0.9,54.0,calcite,not applicable
457074,806,0.9,55.0,calcite,not applicable
457075,806,0.9,56.0,calcite,not applicable
457076,806,0.9,57.0,calcite,not applicable
457077,806,0.9,58.0,calcite,not applicable
457078,806,0.9,59.0,calcite,not applicable
457079,806,0.9,60.0,calcite,not applicable
457080,806,0.9,61.0,calcite,not applicable
457081,806,0.9,62.0,calcite,not applicable
457082,806,0.9,63.0,calcite,not applicable
457083,806,0.9,64.0,calcite,not applicable
457084,806,0.9,65.0,calcite,not applicable
457085,806,0.9,66.0,calcite,not applicable
457086,806,0.9,67.0,calcite,not applicable
457087,806,0.9,68.0,calcite,not applicable
457088,806,0.9,69.0,calcite,not applicable
457089,806,0.9,70.0,calcite,not applicable
457090,806,0.9,71.0,calcite,not applicable
457091,806,0.9,72.0,calcite,not applicable
457092,806,0.9,73.0,calcite,not applicable
457093,806,0.9,74.0,calcite,not applicable
457094,806,0.9,75.0,calcite,not applicable
457095,806,0.9,76.0,calcite,not applicable
457096,806,0.9,77.0,calcite,not applicable
457097,806,0.9,78.0,calcite,not applicable
457098,806,0.9,79.0,calcite,not applicable
457099,806,0.9,80.0,calcite,not applicable
457100,806,0.9,81.0,calcite,not applicable
457101,806,0.9,82.0,calcite,not applicable
457102,806,0.9,83.0,calcite,not applicable
457103,806,0.9,84.0,calcite,not applicable
457104,806,0.9,85.0,calcite,not applicable
457105,806,0.9,86.0,calcite,not applicable
457106,806,0.9,87.0,calcite,not applicable
457107,806,0.9,88.5,calcite,not applicable
457108,806,0.9,89.51,calcite,not applicable
457109,806,0.9,90.51,calcite,not applicable
457110,806,0.9,91.01,calcite,not applicable
457111,806,0.9,91.51,calcite,not applicable
457112,806,0.9,92.01,calcite,not applicable
457113,806,0.9,92.51,calcite,not applicable
457114,806,0.9,93.01,calcite,not applicable
457115,806,0.9,93.51,calcite,not applicable
457116,806,0.9,94.01,calcite,not applicable
457117,806,0.9,94.51,calcite,not applicable
457118,806,0.9,95.01,calcite,not applicable
457119,806,0.9,95.51,calcite,not applicable
457120,806,0.9,96.01,calcite,not applicable
457121,806,0.9,96.51,calcite,not applicable
457122,806,0.9,97.01,calcite,not applicable
457123,806,0.9,97.51,calcite,not applicable
457124,806,0.9,98.01,calcite,not applicable
457125,806,0.9,98.51,calcite,not applicable
457126,806,0.9,99.01,calcite,not applicable
457127,806,0.9,99.51,calcite,not applicable
457128,806,0.9,100.01,calcite,not applicable
457129,806,0.9,100.51,calcite,not applicable
457130,806,0.9,101.01,calcite,not applicable
457131,806,0.9,101.51,calcite,not applicable
457132,806,0.9,102.01,calcite,not applicable
457133,806,0.9,102.51,calcite,not applicable
457134,806,0.9,103.01,calcite,not applicable
457135,806,0.9,103.51,calcite,not applicable
457136,806,0.9,104.01,calcite,not applicable
457137,806,0.9,104.51,calcite,not applicable
457138,806,0.9,105.01,calcite,not applicable
457139,806,0.9,105.51,calcite,not applicable
457140,806,0.9,106.01,calcite,not applicable
457141,806,0.9,106.51,calcite,not applicable
457142,806,0.9,107.01,calcite,not applicable
457143,806,0.9,107.51,calcite,not applicable
457144,806,0.9,108.01,calcite,not applicable
457145,806,0.9,108.51,calcite,not applicable
457146,806,0.9,109.01,calcite,not applicable
457147,806,0.9,109.51,calcite,not applicable
457148,806,0.9,110.01,calcite,not applicable
457149,806,0.9,110.51,calcite,not applicable
457150,806,0.9,111.01,calcite,not applicable
457151,806,0.9,111.51,calcite,not applicable
457152,806,0.9,112.01,calcite,not applicable
457153,806,0.9,112.51,calcite,not applicable
457154,806,0.9,113.01,calcite,not applicable
457155,806,0.9,113.51,calcite,not applicable
457156,806,0.9,114.01,calcite,not applicable
457157,806,0.9,114.51,calcite,not applicable
457158,806,0.9,115.01,calcite,not applicable
457159,806,0.9,115.51,calcite,not applicable
457160,806,0.9,118.51,calcite,not applicable
457161,806,0.9,119.01,calcite,not applicable
457162,806,0.9,119.51,calcite,not applicable
457163,806,0.9,120.01,calcite,not applicable
457164,806,0.9,120.51,calcite,not applicable
457165,806,0.9,121.01,calcite,not applicable
457166,806,0.9,121.51,calcite,not applicable
457167,806,0.9,122.01,calcite,not applicable
457168,806,0.9,122.51,calcite,not applicable
457169,806,0.9,123.01,calcite,not applicable
457170,806,0.9,123.51,calcite,not applicable
457171,806,0.9,124.01,calcite,not applicable
457172,806,0.9,124.51,calcite,not applicable
457173,806,0.9,125.01,calcite,not applicable
457174,806,0.9,125.51,calcite,not applicable
457175,806,0.9,126.01,calcite,not applicable
457176,806,0.9,126.51,calcite,not applicable
457177,806,0.9,127.01,calcite,not applicable
457178,806,0.9,127.51,calcite,not applicable
457179,806,0.9,128.01,calcite,not applicable
457180,806,0.9,128.51,calcite,not applicable
457181,806,0.9,129.01,calcite,not applicable
457182,806,0.9,129.51,calcite,not applicable
457183,806,0.9,130.01,calcite,not applicable
457184,806,0.9,130.51,calcite,not applicable
457185,806,0.9,131.01,calcite,not applicable
457186,806,0.9,131.51,calcite,not applicable
457187,806,0.9,132.01,calcite,not applicable
457188,806,0.9,132.51,calcite,not applicable
457189,806,0.9,133.01,calcite,not applicable
457190,806,0.9,133.51,calcite,not applicable
457191,806,0.9,134.01,calcite,not applicable
457192,806,0.9,134.51,calcite,not applicable
457193,806,0.9,135.01,calcite,not applicable
457194,806,0.9,135.51,calcite,not applicable
457195,806,0.9,136.01,calcite,not applicable
457196,806,0.9,136.51,calcite,not applicable
457197,806,0.9,137.01,calcite,not applicable
457198,806,0.9,137.51,calcite,not applicable
457199,806,0.9,138.01,calcite,not applicable
457200,806,0.9,138.51,calcite,not applicable
457201,806,0.9,139.01,calcite,not applicable
457202,806,0.9,139.51,calcite,not applicable
457203,806,0.9,140.01,calcite,not applicable
457204,806,0.9,140.51,calcite,not applicable
457205,806,0.9,141.01,calcite,not applicable
457206,806,0.9,141.51,calcite,not applicable
457207,806,0.9,142.01,calcite,not applicable
457208,806,0.9,142.51,calcite,not applicable
457209,806,0.9,143.01,calcite,not applicable
457210,806,0.9,143.51,calcite,not applicable
457211,806,0.9,144.01,calcite,not applicable
457212,806,0.9,144.51,calcite,not applicable
457213,806,0.9,145.01,calcite,not applicable
457214,806,0.9,145.51,calcite,not applicable
457215,806,0.9,146.01,calcite,not applicable
457216,806,0.9,146.51,calcite,not applicable
457217,806,0.9,147.01,calcite,not applicable
457218,806,0.9,147.51,calcite,not applicable
457219,806,0.9,148.01,calcite,not applicable
457220,806,0.9,148.51,calcite,not applicable
457221,806,0.9,149.01,calcite,not applicable
457222,806,0.9,149.51,calcite,not applicable
457223,806,0.9,150.01,calcite,not applicable
457224,806,0.9,150.51,calcite,not applicable
457225,806,0.9,151.01,calcite,not applicable
457226,806,0.9,151.51,calcite,not applicable
457227,806,0.9,152.01,calcite,not applicable
457228,806,0.9,152.51,calcite,not applicable
457229,806,0.9,153.01,calcite,not applicable
457230,806,0.9,153.51,calcite,not applicable
457231,806,0.9,154.01,calcite,not applicable
457232,806,0.9,154.51,calcite,not applicable
457233,806,0.9,155.01,calcite,not applicable
