sample_id,lin_interp_age,lin_interp_age_uncert_pos,lin_interp_age_uncert_neg,lin_reg_age,lin_reg_age_uncert_pos,lin_reg_age_uncert_neg,Bchron_age,Bchron_age_uncert_pos,Bchron_age_uncert_neg,Bacon_age,Bacon_age_uncert_pos,Bacon_age_uncert_neg,OxCal_age,OxCal_age_uncert_pos,OxCal_age_uncert_neg,copRa_age,copRa_age_uncert_pos,copRa_age_uncert_neg,StalAge_age,StalAge_age_uncert_pos,StalAge_age_uncert_neg
456631,121574.92678098,1565.34122956281,1334.47008900407,122859.46484867,384.071244488805,374.633071420569,,,,125630.892875,496.115899999975,707.910375000007,,,,121517.680697842,1654.36103899629,1301.35666198925,120626.306810734,458.672669267326,424.300394413658
456632,121738.31806232,1491.04104200163,1270.64673471986,122940.625074539,383.189273249038,372.960434845576,,,,125694.88225,494.14254999999,697.86725000001,,,,121582.316354484,1655.95017582095,1299.74983328827,120626.809513997,497.869466978125,412.775011402715
456633,121897.936312488,1420.48394332755,1220.04018691678,123022.471082617,380.844012431466,371.205752272072,,,,125759.425875,497.88688749999,688.378375,,,,121656.319746439,1669.98983391184,1284.17117262336,120627.312217259,556.755562786726,402.791907672494
456634,122059.349709451,1360.52584219306,1187.19876388226,123104.764692689,376.921147903195,368.951490934196,,,,125823.028,497.196799999991,677.948000000004,,,,121743.634501123,1672.49218929645,1257.85081098411,120644.149198314,622.97177527906,411.113550950118
456635,122224.90027266,1294.80871913463,1143.23104646977,123187.037488999,373.786438402807,366.218718017146,,,,125886.33875,493.646562500013,667.226249999992,,,,121840.984299136,1672.29774792005,1231.88286006333,120673.966711104,702.589658878307,433.881181229983
456636,122378.70078711,1254.63524570443,1103.28130469359,123269.572097012,370.727586852881,363.663937475911,,,,125948.863,501.187950000007,655.717999999993,,,,121969.939693162,1626.54130392217,1213.68348246951,120716.263296077,793.799329441972,466.355509490342
456637,122538.453954464,1206.5474358963,1071.37114231654,123352.064538054,367.886911607653,361.175552885077,,,,126011.660125,509.183412500002,644.482625000004,,,,122114.316378419,1573.18270594705,1210.16674701244,120810.827218673,853.24388981938,543.153767822223
456638,122692.046641011,1154.35372165283,1049.4524167702,123434.445991334,364.109559805627,358.129926313544,,,,126077.3995,512.726999999999,636.189499999993,,,,122262.951952771,1532.04917351637,1192.60385709637,120939.065800864,895.947386331783,640.512244844707
456639,122855.35919225,1120.84247062256,1027.55943344404,123517.213640173,358.728896624278,355.82845634206,,,,126141.281875,508.606750000006,626.039375000008,,,,122416.327727581,1481.56454201815,1156.55969768154,121085.991650936,933.328578983565,738.272515493722
456640,123011.95977173,1084.72245800159,1005.00785205781,123598.855565098,355.687056914117,352.235498576483,,,,126204.92375,513.485000000001,615.648750000008,,,,122572.628564505,1457.73867882977,1114.78532372009,121249.514476726,963.909128227242,829.173254257083
456641,123169.46646185,1069.61233623394,970.424928048757,123681.402797766,353.06830500935,350.200554436931,,,,126266.949125,516.699875000006,603.641624999989,,,,122736.111429103,1439.30054305783,1094.18716225296,121427.543986074,986.21069451535,905.953135622607
456642,123335.145422476,1049.62927499454,979.00451755205,123763.248253092,351.122965443355,347.976329349563,,,,126330.35,515.618000000002,593.009999999995,,,,122913.640887009,1396.08770407745,1095.75058593255,121617.989886818,998.754938300393,961.350834078097
456643,123490.483746008,1033.63857516345,965.458561213163,123845.148759114,348.32582893355,346.667409227273,,,,126393.7455,514.541500000007,582.372999999992,,,,123089.53467219,1356.17336271588,1075.65823165918,121818.807977658,1000.34879994827,990.029671593846
456644,123652.519437414,1019.79159638578,962.452144062074,123927.121903587,344.106636778364,345.674248485622,,,,126455.54975,515.056250000009,570.144749999992,,,,123282.434486386,1302.99062192558,1069.17416075192,122028.138420743,990.940339478475,994.351560070078
456645,123808.928573048,1007.15062891693,970.41751503566,124009.225120552,341.199974248928,344.866103789886,,,,126517.528125,516.799375000002,558.090624999997,,,,123462.64250209,1292.82494902531,1056.64457840263,122244.16746908,970.762896823842,978.603058889465
456646,123961.531824985,1007.32661503296,976.307221525145,124092.368239919,336.218395433854,344.704439804031,,,,126580.977,522.313399999999,547.506999999998,,,,123649.155939635,1291.88403486353,1052.5284204544,122465.081375681,940.049811917212,947.070727434722
456647,124114.317992419,997.320163112905,984.210657294723,124174.327849501,333.537464922963,341.955384345973,,,,126644.14775,522.614749999993,536.645250000016,,,,123840.244432856,1262.44319822559,1067.92244257033,122689.066393553,899.034424691461,904.041125088508
456648,124274.816480283,989.364492680834,985.835448126527,124256.427656901,332.653514545877,341.240023416161,,,,126708.69275,519.482249999986,527.157750000013,,,,124023.305666377,1278.772852913,1083.94202228046,122914.308775708,847.950075079425,853.800811233552
456649,124424.684114154,994.179872064735,1000.15597220132,124338.88582898,330.053315540761,339.569760860541,,,,126769.915,519.730025000012,518.604337499986,,,,124212.854839114,1286.29556752986,1102.0918846741,123138.994775153,787.030103013953,800.63634525254
456650,124581.199982096,1030.10902631053,1037.32322281197,124420.940464429,328.922892453615,337.727627040353,,,,126835.51,522.381999999983,523.396000000008,,,,124400.014291147,1320.42186681712,1136.61780917436,123361.310644899,716.507848427922,748.834286528145
