sample_id,d13C_measurement,d13C_precision
457065,-6.35191501556759,0.08
457066,-6.67951379368374,0.08
457067,-6.73182816040683,0.08
457068,-7.63084163295403,0.08
457069,-7.70924801933702,0.08
457070,-7.62649295028433,0.08
457071,-8.35340380186314,0.08
457072,-7.99855189049324,0.08
457073,-8.03920864562777,0.08
457074,-8.58252377434085,0.08
457075,-7.40290270593329,0.08
457076,-7.43132584358686,0.08
457077,-7.17191330052574,0.08
457078,-7.32360377785917,0.08
457079,-7.24716975031513,0.08
457080,-6.68686493199388,0.08
457081,-7.78931114501131,0.08
457082,-8.22564298000965,0.08
457083,-6.91000441685054,0.08
457084,-7.71710251542989,0.08
457085,-7.37314998029491,0.08
457086,-7.83070323154602,0.08
457087,-7.89430670028939,0.08
457088,-7.69481459539698,0.08
457089,-7.76768149858072,0.08
457090,-7.90357454934666,0.08
457091,-7.84655449422112,0.08
457092,-7.69331215397198,0.08
457093,-7.44534066459908,0.08
457094,-7.64187362915096,0.08
457095,-8.19949434728366,0.08
457096,-7.76453902258221,0.08
457097,-8.06770806001842,0.08
457098,-8.35044398335802,0.08
457099,-8.26465525502668,0.08
457100,-8.3672199245882,0.08
457101,-8.51895968548181,0.08
457102,-8.37878894279482,0.08
457103,-8.45357562596205,0.08
457104,-8.55587815767561,0.08
457105,-8.42700064864751,0.08
457106,-8.62155503815011,0.08
457107,-7.72117914921799,0.08
457108,-7.65255936663408,0.08
457109,-8.30299104321331,0.08
457110,-8.44878094319782,0.08
457111,-8.66185857538805,0.08
457112,-8.64769275752625,0.08
457113,-8.38955351324741,0.08
457114,-8.13418189898386,0.08
457115,-7.98949368901468,0.08
457116,-7.06898005782512,0.08
457117,-7.41425173918337,0.08
457118,-7.32737546175723,0.08
457119,-7.0156114357526,0.08
457120,-7.17699681757688,0.08
457121,-7.2681089844898,0.08
457122,-7.36958860017581,0.08
457123,-7.54654719199168,0.08
457124,-7.33923506875433,0.08
457125,-7.1238105007255,0.08
457126,-8.23038273040528,0.08
457127,-8.19116906472275,0.08
457128,-8.09159082651137,0.08
457129,-7.99538558717116,0.08
457130,-8.45529122709472,0.08
457131,-7.91023670628303,0.08
457132,-7.9895051700145,0.08
457133,-8.12974436846168,0.08
457134,-8.44747537949962,0.08
457135,-8.71259752150714,0.08
457136,-8.9422157021075,0.08
457137,-9.0008047937248,0.08
457138,-8.73075345456819,0.08
457139,-8.00971037035394,0.08
457140,-8.43193151719913,0.08
457141,-8.85333193278227,0.08
457142,-8.70881629861423,0.08
457143,-7.73205853387327,0.08
457144,-7.8349185618063,0.08
457145,-8.37886891280387,0.08
457146,-8.59250913111908,0.08
457147,-8.351718155714,0.08
457148,-8.48627821723608,0.08
457149,-8.45736884517326,0.08
457150,-8.49997080007601,0.08
457151,-8.29488326452722,0.08
457152,-8.18948146634125,0.08
457153,-8.24580753918147,0.08
457154,-8.23654606531677,0.08
457155,-8.39146779229194,0.08
457156,-8.39967046756321,0.08
457157,-8.38441664410156,0.08
457158,-8.07921050751172,0.08
457159,-7.97148481658331,0.08
457160,-7.44661303266982,0.08
457161,-8.0662554686671,0.08
457162,-7.88198852877553,0.08
457163,-8.38163030358271,0.08
457164,-7.98591685589039,0.08
457165,-8.08768677510843,0.08
457166,-7.56462240629666,0.08
457167,-7.17024278599734,0.08
457168,-7.86440908300001,0.08
457169,-7.65228470318342,0.08
457170,-8.06746995425604,0.08
457171,-8.01934709179248,0.08
457172,-7.4585923632214,0.08
457173,-7.08767601745398,0.08
457174,-6.71745400972736,0.08
457175,-6.83956778407176,0.08
457176,-6.79119187729143,0.08
457177,-6.56722022948097,0.08
457178,-7.13735541977265,0.08
457179,-8.17318862883464,0.08
457180,-8.21665709585509,0.08
457181,-7.32574855233215,0.08
457182,-7.20446675002015,0.08
457183,-7.71881543044666,0.08
457184,-6.95019454142105,0.08
457185,-7.65744033441988,0.08
457186,-7.58865668710728,0.08
457187,-7.42589033780919,0.08
457188,-7.63194274262241,0.08
457189,-8.06293781005831,0.08
457190,-7.7243136900012,0.08
457191,-7.86288704122294,0.08
457192,-7.27108643261562,0.08
457193,-7.55968844203501,0.08
457194,-8.14384337788791,0.08
457195,-8.06127454287622,0.08
457196,-8.21714545728606,0.08
457197,-7.82887734960785,0.08
457198,-7.3723314975223,0.08
457199,-7.76561437096998,0.08
457200,-6.64889982580708,0.08
457201,-7.32114732953604,0.08
457202,-7.29422391770564,0.08
457203,-7.14248659885323,0.08
457204,-7.03250538848092,0.08
457205,-7.97282468028403,0.08
457206,-7.76925319576531,0.08
457207,-7.46601470829803,0.08
457208,-7.40752247072786,0.08
457209,-7.15800773761383,0.08
457210,-7.00012114980115,0.08
457211,-5.94412260314093,0.08
457212,-6.01814830315701,0.08
457213,-5.86486866229765,0.08
457214,-5.72011963223654,0.08
457215,-5.77056368246483,0.08
457216,-5.98129262203542,0.08
457217,-7.64327737876491,0.08
457218,-7.34842752013327,0.08
457219,-7.65142215539732,0.08
457220,-7.44376444951781,0.08
