sample_id,d13C_measurement,d13C_precision
457380,-7.12473524582989,0.08
457381,-7.01347894448913,0.08
457382,-7.09242401569698,0.08
457383,-7.3493136083541,0.08
457384,-7.33274278631714,0.08
457385,-7.35802849950844,0.08
457386,-7.38430652448238,0.08
457387,-7.25383037612878,0.08
457388,-7.13619664519026,0.08
457389,-7.18952604411205,0.08
457390,-7.12575825549947,0.08
457391,-7.13578473046242,0.08
457392,-7.23743687176005,0.08
457393,-6.92926333793859,0.08
457394,-6.89442172022498,0.08
457395,-7.16107244667487,0.08
457396,-7.14905501991997,0.08
457397,-7.15294078458877,0.08
457398,-7.16690016977794,0.08
457399,-7.08830859741771,0.08
457400,-6.88720127660415,0.08
457401,-6.84667323620744,0.08
457402,-6.90638418240826,0.08
457403,-6.78587602007202,0.08
457404,-6.49163760700355,0.08
457405,-6.29515676638012,0.08
457406,-5.78023723959681,0.08
457407,-6.21523560282173,0.08
457408,-6.22747520713068,0.08
457409,-5.6376068295053,0.08
457410,-5.54713883951235,0.08
457411,-6.67472368240599,0.08
457412,-6.82727631543914,0.08
457413,-6.49663652080411,0.08
457414,-6.80591270899005,0.08
457415,-6.55186814812329,0.08
457416,-6.24224069567949,0.08
457417,-6.10037356405744,0.08
457418,-6.2688145959404,0.08
457419,-6.3994246728925,0.08
457420,-6.1717753123945,0.08
457421,-6.08543172285859,0.08
457422,-5.95352370441,0.08
457423,-6.04965604380579,0.08
457424,-5.92580880486876,0.08
457425,-5.83840825110529,0.08
457426,-6.11617744842864,0.08
457427,-5.82356135588284,0.08
457428,-5.89227892119794,0.08
457429,-5.63002961590867,0.08
457430,-5.83905443865245,0.08
457431,-5.88414474169806,0.08
457432,-5.43278757186662,0.08
457433,-5.514963389548,0.08
457434,-5.22193677926353,0.08
457435,-5.41681249081884,0.08
457436,-5.06373229625984,0.08
457437,-4.74230044649133,0.08
457438,-4.7168381156975,0.08
457439,-4.72750795549373,0.08
457440,-4.6028923663523,0.08
457441,-4.69366127749785,0.08
457442,-4.87953998365626,0.08
457443,-5.2035474173026,0.08
457444,-5.78792629519,0.08
457445,-6.08970208172911,0.08
457446,-6.47737846384461,0.08
457447,-6.51703226688757,0.08
457448,-5.93330466753306,0.08
457449,-5.76507464442962,0.08
457450,-5.65021888149603,0.08
457451,-5.69,0.08
457452,-5.97939632681892,0.08
457453,-5.72328551635819,0.08
457454,-5.19494253158832,0.08
457455,-5.88593034633378,0.08
457456,-5.97212200417885,0.08
457457,-5.71893745908068,0.08
457458,-5.67296270379111,0.08
457459,-6.66458873729608,0.08
457460,-6.05514255429564,0.08
457461,-6.13185260679146,0.08
457462,-5.60395105213694,0.08
457463,-5.20079858281309,0.08
457464,-6.04289537481362,0.08
457465,-6.60219023113689,0.08
457466,-5.22288301190003,0.08
457467,-6.02814148349291,0.08
457468,-6.33593332569832,0.08
457469,-6.38927447026855,0.08
457470,-5.54057767404602,0.08
457471,-6.38315154781893,0.08
457472,-5.83297494293763,0.08
457473,-7.11794517056467,0.08
457474,-5.70070928984353,0.08
457475,-5.2968769420367,0.08
457476,-5.97008818899144,0.08
457477,-5.61137379471513,0.08
457478,-5.67715734224099,0.08
457479,-4.98554142210509,0.08
457480,-6.03195964923847,0.08
457481,-6.57376806520746,0.08
457482,-5.88675998485009,0.08
457483,-6.23202372629329,0.08
457484,-6.55823984302956,0.08
457485,-5.82164473730472,0.08
457486,-6.37455573196349,0.08
457487,-6.10066479702366,0.08
457488,-6.34654428642642,0.08
457489,-6.34294198679502,0.08
457490,-6.48673172636819,0.08
457491,-5.75110992066931,0.08
457492,-5.80492821510482,0.08
457493,-5.85615517700659,0.08
457494,-6.1053981744685,0.08
457495,-5.66270696984072,0.08
457496,-3.92977562835834,0.08
457497,-3.6407479310743,0.08
457498,-7.65804618280226,0.08
457499,-8.28045934213751,0.08
457500,-8.49065654439737,0.08
457501,-8.81132430360704,0.08
457502,-8.89552349826202,0.08
457503,-8.8051633744353,0.08
457504,-8.69006948127434,0.08
457505,-8.51216447652639,0.08
457506,-8.77328683970731,0.08
457507,-9.13173138302278,0.08
457508,-8.5432714116193,0.08
457509,-7.81245978620829,0.08
457510,-7.25710889392163,0.08
457511,-6.35813198036283,0.08
457512,-5.45220656949075,0.08
457513,-5.70493411259622,0.08
457514,-5.9662620373159,0.08
457515,-6.12877836194205,0.08
457516,-6.30813410875478,0.08
457517,-6.47535380627364,0.08
457518,-6.59243273414946,0.08
457519,-6.64992233598988,0.08
457520,-6.69997891669188,0.08
457521,-6.68561696616021,0.08
457522,-6.68557498831085,0.08
457523,-6.68662465176791,0.08
