sample_id,d18O_measurement,d18O_precision
457283,-5.22687059731438,0.08
457284,-5.12229724924467,0.08
457285,-5.01588240229177,0.08
457286,-5.11408133879569,0.08
457287,-5.27855767067414,0.08
457288,-5.49683095217954,0.08
457289,-5.25089907539916,0.08
457290,-5.35875441430656,0.08
457291,-5.40278874593583,0.08
457292,-5.40580071441219,0.08
457293,-5.48002028509833,0.08
457294,-5.38853973841964,0.08
457295,-5.4678621099856,0.08
457296,-5.45837464724922,0.08
457297,-5.51098148216284,0.08
457298,-5.42701758008411,0.08
457299,-5.46388019656037,0.08
457300,-5.33846314678657,0.08
457301,-5.52216767453717,0.08
457302,-5.41894847046,0.08
457303,-5.1972525848299,0.08
457304,-5.31159496815957,0.08
457305,-5.33140353943033,0.08
457306,-5.61690098017413,0.08
457307,-5.74539734957961,0.08
457308,-5.57621377228523,0.08
457309,-5.44756432313924,0.08
457310,-5.3387992113607,0.08
457311,-5.43233469484964,0.08
457312,-5.45848085574591,0.08
457313,-5.71410234697918,0.08
457314,-5.51036635634854,0.08
457315,-5.24477274652241,0.08
457316,-5.18119994232524,0.08
457317,-5.25839122877524,0.08
457318,-5.1073574269226,0.08
457319,-5.24690752940283,0.08
457320,-5.35088478052327,0.08
457321,-5.20205077226849,0.08
457322,-5.21319397465848,0.08
457323,-5.06979085437393,0.08
457324,-5.419092404892,0.08
457325,-5.33368818872065,0.08
457326,-5.1844636233312,0.08
457327,-5.22502597046298,0.08
457328,-5.41582602904086,0.08
457329,-5.44674802262131,0.08
457330,-5.22383186354706,0.08
457331,-5.14415953937032,0.08
457332,-5.04365229819624,0.08
457333,-5.23615862765637,0.08
457334,-5.20118591208168,0.08
457335,-5.22991078209369,0.08
457336,-5.08025074537333,0.08
457337,-5.01654470560881,0.08
457338,-4.94673295017443,0.08
457339,-4.99100761247183,0.08
457340,-5.0727312417954,0.08
457341,-5.09931115750684,0.08
457342,-5.32038871650405,0.08
457343,-5.27395458559998,0.08
457344,-5.3280767123282,0.08
457345,-5.2217824417438,0.08
457346,-5.13297063910966,0.08
457347,-4.88082991915956,0.08
457348,-5.19524095976762,0.08
457349,-5.64695342326993,0.08
457350,-5.53521276145961,0.08
457351,-5.50011828690172,0.08
457352,-5.62280396374503,0.08
457353,-5.37845325100903,0.08
457354,-5.40873930596333,0.08
457355,-5.53004426038076,0.08
457356,-5.69566196961786,0.08
457357,-5.67479004944143,0.08
457358,-5.70995656375826,0.08
457359,-6.04580420185788,0.08
457360,-5.88077544402621,0.08
457361,-5.78691549388597,0.08
457362,-5.9148755394555,0.08
457363,-5.84434975586661,0.08
457364,-5.93249164774311,0.08
457365,-5.6480500387152,0.08
457366,-5.60578963140396,0.08
457367,-5.71500041135523,0.08
457368,-5.77786818248792,0.08
457369,-5.78107934235228,0.08
457370,-5.626329961764,0.08
457371,-5.6772220260971,0.08
457372,-5.75781847798403,0.08
457373,-5.64459316549247,0.08
457374,-5.78088054832074,0.08
457375,-5.72953076745628,0.08
457376,-5.76989577598628,0.08
457377,-5.80745100501759,0.08
457378,-6.07612094676193,0.08
457379,-5.93469281211902,0.08
457380,-6.03163482587439,0.08
457381,-6.08002349915256,0.08
457382,-6.10096200069053,0.08
457383,-6.1489828125135,0.08
457384,-6.26109445822619,0.08
457385,-6.34880207383794,0.08
457386,-6.33922090368126,0.08
457387,-6.25106231471743,0.08
457388,-6.12761182217688,0.08
457389,-6.27758106580964,0.08
457390,-6.03142116510446,0.08
457391,-5.93486531846425,0.08
457392,-5.4244873557852,0.08
457393,-5.91970952462431,0.08
457394,-6.01866723438477,0.08
457395,-5.95840417697625,0.08
457396,-6.25653307895558,0.08
457397,-5.83639296338107,0.08
457398,-5.6778748802637,0.08
457399,-5.63813239140097,0.08
457400,-5.49534361726349,0.08
457401,-5.35182241278568,0.08
457402,-5.30734134525766,0.08
457403,-5.26887433212719,0.08
457404,-5.14016846845206,0.08
457405,-4.94597219673651,0.08
